,school,sos,year
0,abilene-christian,-4.12,2018
1,air-force,1.71,2018
2,akron,-0.48,2018
3,alabama-am,-10.58,2018
4,alabama-birmingham,-0.77,2018
5,alabama-state,-11.40,2018
6,alabama,8.88,2018
7,albany-ny,-5.22,2018
8,alcorn-state,-9.27,2018
9,american,-3.25,2018
10,appalachian-state,-7.13,2018
11,arizona-state,7.41,2018
12,arizona,9.04,2018
13,arkansas-little-rock,-1.09,2018
14,arkansas-pine-bluff,-6.90,2018
15,arkansas-state,-3.18,2018
16,arkansas,5.57,2018
17,army,-4.66,2018
18,auburn,5.47,2018
19,austin-peay,-5.78,2018
20,ball-state,0.65,2018
21,baylor,10.11,2018
22,belmont,-1.88,2018
23,bethune-cookman,-7.53,2018
24,binghamton,-6.15,2018
25,boise-state,3.86,2018
26,boston-college,8.62,2018
27,boston-university,-2.40,2018
28,bowling-green-state,-0.20,2018
29,bradley,-0.31,2018
30,brigham-young,5.72,2018
31,brown,-4.04,2018
32,bryant,-4.89,2018
33,bucknell,-3.14,2018
34,buffalo,-2.13,2018
35,butler,6.98,2018
36,cal-poly,1.69,2018
37,cal-state-bakersfield,-4.31,2018
38,cal-state-fullerton,-1.12,2018
39,cal-state-northridge,-3.29,2018
40,california-davis,-1.76,2018
41,california-irvine,-0.65,2018
42,california-riverside,-2.33,2018
43,california-santa-barbara,-0.13,2018
44,university-of-california,7.44,2018
45,campbell,-7.33,2018
46,canisius,-1.95,2018
47,central-arkansas,-5.54,2018
48,central-connecticut-state,-6.06,2018
49,central-florida,5.14,2018
50,central-michigan,-2.72,2018
51,charleston-southern,-5.75,2018
52,charlotte,-0.50,2018
53,chattanooga,-7.90,2018
54,chicago-state,-2.44,2018
55,cincinnati,5.28,2018
56,citadel,-6.75,2018
57,clemson,5.97,2018
58,cleveland-state,-0.52,2018
59,coastal-carolina,-6.31,2018
60,colgate,-4.08,2018
61,college-of-charleston,-1.89,2018
62,colorado-state,2.16,2018
63,colorado,8.80,2018
64,columbia,-1.92,2018
65,connecticut,8.63,2018
66,coppin-state,-4.99,2018
