,school,sos,school-format,season
0,Air Force,4.28,air-force,2013
1,Akron NCAA,0.18,akron,2013
2,Alabama A&M,-9.82,alabama-am,2013
3,Alabama-Birmingham,1.51,alabama-birmingham,2013
4,Alabama State,-9.01,alabama-state,2013
5,Alabama,5.93,alabama,2013
6,Albany (NY) NCAA,-4.53,albany-ny,2013
7,Alcorn State,-7.11,alcorn-state,2013
8,American,-2.53,american,2013
9,Appalachian State,-5.77,appalachian-state,2013
10,Arizona State,4.60,arizona-state,2013
11,Arizona NCAA,7.47,arizona,2013
12,Little Rock,-2.23,little-rock,2013
13,Arkansas-Pine Bluff,-8.20,arkansas-pine-bluff,2013
14,Arkansas State,-4.36,arkansas-state,2013
15,Arkansas,4.97,arkansas,2013
16,Army,-4.52,army,2013
17,Auburn,4.18,auburn,2013
18,Austin Peay,-4.31,austin-peay,2013
19,Ball State,-3.15,ball-state,2013
20,Baylor,7.13,baylor,2013
21,Belmont NCAA,-0.96,belmont,2013
22,Bethune-Cookman,-6.44,bethune-cookman,2013
23,Binghamton,-3.70,binghamton,2013
24,Boise State NCAA,5.27,boise-state,2013
25,Boston College,7.03,boston-college,2013
26,Boston University,-3.93,boston-university,2013
27,Bowling Green State,-1.75,bowling-green-state,2013
28,Bradley,1.97,bradley,2013
29,Brigham Young,3.75,brigham-young,2013
30,Brown,-3.03,brown,2013
31,Bryant,-4.72,bryant,2013
32,Bucknell NCAA,-1.96,bucknell,2013
33,Buffalo,-0.35,buffalo,2013
34,Butler NCAA,6.08,butler,2013
35,Cal Poly,-0.62,cal-poly,2013
36,Cal State Bakersfield,-2.17,cal-state-bakersfield,2013
37,Cal State Fullerton,-3.03,cal-state-fullerton,2013
38,Cal State Northridge,-1.93,cal-state-northridge,2013
39,UC-Davis,-2.57,california-davis,2013
40,UC-Irvine,-0.66,california-irvine,2013
41,UC-Riverside,-1.71,california-riverside,2013
42,UC-Santa Barbara,0.40,california-santa-barbara,2013
43,University of California NCAA,7.77,california,2013
44,Campbell,-5.55,campbell,2013
45,Canisius,-0.99,canisius,2013
46,Central Arkansas,-6.12,central-arkansas,2013
47,Central Connecticut State,-4.04,central-connecticut-state,2013
48,Central Florida,0.96,central-florida,2013
49,Central Michigan,-1.21,central-michigan,2013
50,Charleston Southern,-5.62,charleston-southern,2013
51,Charlotte,2.75,charlotte,2013
52,Chattanooga,-4.97,chattanooga,2013
53,Chicago State,-4.91,chicago-state,2013
54,Cincinnati NCAA,6.93,cincinnati,2013
55,Citadel,-5.45,citadel,2013
56,Clemson,4.44,clemson,2013
57,Cleveland State,-0.16,cleveland-state,2013
58,Coastal Carolina,-5.22,coastal-carolina,2013
59,Colgate,-2.58,colgate,2013
60,College of Charleston,-3.86,college-of-charleston,2013
61,Colorado State NCAA,5.89,colorado-state,2013
62,Colorado NCAA,7.95,colorado,2013
63,Columbia,-3.48,columbia,2013
64,Connecticut,7.42,connecticut,2013
65,Coppin State,-4.20,coppin-state,2013
66,Cornell,-2.37,cornell,2013
67,Creighton NCAA,5.16,creighton,2013
68,Dartmouth,-3.17,dartmouth,2013
69,Davidson NCAA,-3.45,davidson,2013
70,Dayton,4.27,dayton,2013
71,Delaware State,-5.90,delaware-state,2013
