,3PM-A,A,BLK,DATE,DEF,FGM-A,FTM-A,MATCH,MIN,OFF,PF,PLAYER,PTS,STL,TEAM,TO,TOT
0,1-2,2,1,2017-11-10,2,1-2,0-0,"Savannah State
 vs. Cincinnati
",22:00,0,0,Javaris Jenkins,3,0,"Savannah State
",2,2
1,0-3,1,0,2017-11-10,3,6-12,1-2,"Savannah State
 vs. Cincinnati
",20:00,2,3,Jahlin Smith,13,1,"Savannah State
",4,5
2,1-9,5,0,2017-11-10,3,3-14,4-6,"Savannah State
 vs. Cincinnati
",30:00,1,2,Ty'Lik Evans,11,3,"Savannah State
",2,4
3,1-4,2,0,2017-11-10,2,3-11,4-5,"Savannah State
 vs. Cincinnati
",25:00,1,2,Dexter McClanahan,11,2,"Savannah State
",2,3
4,4-7,6,0,2017-11-10,5,5-9,0-0,"Savannah State
 vs. Cincinnati
",26:00,0,4,Austin Dasent,14,3,"Savannah State
",5,5
5,0-3,0,0,2017-11-10,1,0-5,0-0,"Savannah State
 vs. Cincinnati
",5:00,0,0,John Grant Jr.,0,0,"Savannah State
",0,1
6,1-3,2,0,2017-11-10,1,1-3,0-0,"Savannah State
 vs. Cincinnati
",10:00,0,2,Isaiah Felder,3,0,"Savannah State
",0,1
7,0-3,1,1,2017-11-10,1,1-4,3-3,"Savannah State
 vs. Cincinnati
",13:00,0,4,Jahir Cabeza,5,2,"Savannah State
",0,1
8,0-2,0,1,2017-11-10,1,0-3,0-0,"Savannah State
 vs. Cincinnati
",15:00,0,3,Zach Sellers,0,0,"Savannah State
",1,1
9,3-4,0,0,2017-11-10,1,4-6,0-0,"Savannah State
 vs. Cincinnati
",13:00,0,0,Juwan Grant,11,0,"Savannah State
",0,1
10,0-1,0,0,2017-11-10,0,0-1,0-0,"Savannah State
 vs. Cincinnati
",5:00,2,1,Khalen Pinkett,0,0,"Savannah State
",0,2
11,0-0,0,1,2017-11-10,0,0-1,0-0,"Savannah State
 vs. Cincinnati
",6:00,1,2,Ralueke Orizu,0,0,"Savannah State
",1,1
12,2-3,0,0,2017-11-10,0,2-3,0-0,"Savannah State
 vs. Cincinnati
",8:00,0,1,Chris Dubose,6,0,"Savannah State
",0,0
13,0-0,0,0,2017-11-10,1,0-0,0-0,"Savannah State
 vs. Cincinnati
",2:00,0,0,Maricus Glenn,0,0,"Savannah State
",0,1
0,0-0,0,0,2017-11-10,4,2-3,1-1,"Savannah State
 vs. Cincinnati
",16:00,0,3,Kyle Washington,5,0,"Cincinnati
",2,4
1,0-1,1,1,2017-11-10,7,5-9,3-4,"Savannah State
 vs. Cincinnati
",22:00,4,2,Gary Clark,13,1,"Cincinnati
",0,11
2,5-9,4,0,2017-11-10,4,6-11,0-0,"Savannah State
 vs. Cincinnati
",20:00,0,2,Cane Broome,17,0,"Cincinnati
",6,4
3,1-5,5,0,2017-11-10,3,4-11,1-2,"Savannah State
 vs. Cincinnati
",24:00,4,0,Jarron Cumberland,10,1,"Cincinnati
",0,7
4,4-11,5,2,2017-11-10,4,7-15,1-3,"Savannah State
 vs. Cincinnati
",29:00,3,2,Jacob Evans,19,2,"Cincinnati
",5,7
5,0-0,0,0,2017-11-10,5,1-3,1-2,"Savannah State
 vs. Cincinnati
",11:00,2,1,Nysier Brooks,3,1,"Cincinnati
",0,7
6,0-0,0,1,2017-11-10,4,1-3,1-5,"Savannah State
 vs. Cincinnati
",13:00,4,2,Eliel Nsoseme,3,0,"Cincinnati
",2,8
7,1-5,5,0,2017-11-10,0,6-12,2-5,"Savannah State
 vs. Cincinnati
",21:00,0,2,Justin Jenifer,15,1,"Cincinnati
",1,0
8,0-0,3,0,2017-11-10,2,1-2,2-2,"Savannah State
 vs. Cincinnati
",12:00,1,2,Tre Scott,4,1,"Cincinnati
",1,3
9,2-4,0,0,2017-11-10,1,3-5,0-0,"Savannah State
 vs. Cincinnati
",14:00,1,1,Trevor Moore,8,0,"Cincinnati
",1,2
10,0-4,1,0,2017-11-10,2,5-12,0-0,"Savannah State
 vs. Cincinnati
",15:00,3,0,Keith Williams,10,0,"Cincinnati
",1,5
