,school,sos,school-format,season
0,Abilene Christian,-7.53,abilene-christian,2016
1,Air Force,0.66,air-force,2016
2,Akron,-1.24,akron,2016
3,Alabama A&M,-10.75,alabama-am,2016
4,Alabama-Birmingham,-3.07,alabama-birmingham,2016
5,Alabama State,-9.35,alabama-state,2016
6,Alabama,8.62,alabama,2016
7,Albany (NY),-7.57,albany-ny,2016
8,Alcorn State,-9.94,alcorn-state,2016
9,American,-6.08,american,2016
10,Appalachian State,-1.10,appalachian-state,2016
11,Arizona State,8.96,arizona-state,2016
12,Arizona NCAA,7.23,arizona,2016
13,Arkansas-Little Rock NCAA,-1.76,arkansas-little-rock,2016
14,Arkansas-Pine Bluff,-5.52,arkansas-pine-bluff,2016
15,Arkansas State,-2.37,arkansas-state,2016
16,Arkansas,6.76,arkansas,2016
17,Army,-8.13,army,2016
18,Auburn,7.54,auburn,2016
19,Austin Peay NCAA,-2.98,austin-peay,2016
20,Ball State,-2.98,ball-state,2016
21,Baylor NCAA,9.76,baylor,2016
22,Belmont,-2.10,belmont,2016
23,Bethune-Cookman,-9.18,bethune-cookman,2016
24,Binghamton,-6.35,binghamton,2016
25,Boise State,3.13,boise-state,2016
26,Boston College,7.67,boston-college,2016
27,Boston University,-6.37,boston-university,2016
28,Bowling Green State,-1.85,bowling-green-state,2016
29,Bradley,3.70,bradley,2016
30,Brigham Young,2.36,brigham-young,2016
31,Brown,-2.82,brown,2016
32,Bryant,-6.71,bryant,2016
33,Bucknell,-5.89,bucknell,2016
34,Buffalo NCAA,0.90,buffalo,2016
35,Butler NCAA,7.55,butler,2016
36,Cal Poly,0.90,cal-poly,2016
37,Cal State Bakersfield NCAA,-5.15,cal-state-bakersfield,2016
38,Cal State Fullerton,-0.76,cal-state-fullerton,2016
39,Cal State Northridge,-0.85,cal-state-northridge,2016
40,UC-Davis,-1.26,california-davis,2016
41,UC-Irvine,0.77,california-irvine,2016
42,UC-Riverside,-3.08,california-riverside,2016
43,UC-Santa Barbara,1.44,california-santa-barbara,2016
44,University of California NCAA,7.87,california,2016
45,Campbell,-6.67,campbell,2016
46,Canisius,-3.77,canisius,2016
47,Central Arkansas,-6.81,central-arkansas,2016
48,Central Connecticut State,-9.24,central-connecticut-state,2016
49,Central Florida,3.01,central-florida,2016
50,Central Michigan,-1.30,central-michigan,2016
51,Charleston Southern,-2.59,charleston-southern,2016
52,Charlotte,-1.72,charlotte,2016
53,Chattanooga NCAA,-3.46,chattanooga,2016
54,Chicago State,-1.38,chicago-state,2016
