School,School_format,SOS
Abilene-Christian,abilene-christian,-6.86
Air-Force,air-force,1.34
Akron,akron,-1.55
Alabama-A&M,alabama-am,-11.58
Alabama,alabama,4.47
Alabama-State,alabama-state,-10.17
Alabama-Birmingham,alabama-birmingham,2.84
Albany-(NY),albany-ny,-6.06
Alcorn-State,alcorn-state,-8.85
American,american,-3.67
Appalachian-State,appalachian-state,-3.44
Arizona-State,arizona-state,3.82
Arizona,arizona,4.96
Arkansas,arkansas,2.95
Arkansas-State,arkansas-state,-3.01
Arkansas-Little-Rock,arkansas-little-rock,-3.61
Arkansas-Pine-Bluff,arkansas-pine-bluff,-8.64
Army,army,-4.65
Auburn,auburn,4.02
Austin-Peay,austin-peay,-3.35
Ball-State,ball-state,-0.71
Baylor,baylor,2.39
Belmont,belmont,-3.35
Bethune-Cookman,bethune-cookman,-10
Binghamton,binghamton,-5.61
Boise-State,boise-state,-0.72
Boston-College,boston-college,3.03
Boston-University,boston-university,-5.48
Bowling-Green-State,bowling-green-state,0.07
Bradley,bradley,3.06
Brigham-Young,brigham-young,3.55
Brown,brown,-4.62
Bryant,bryant,-4.9
Bucknell,bucknell,-6.95
Buffalo,buffalo,-2.59
Butler,butler,2.97
Cal-Poly,cal-poly,-1.72
Cal-State-Bakersfield,cal-state-bakersfield,-3.18
Cal-State-Fullerton,cal-state-fullerton,-0.26
Cal-State-Northridge,cal-state-northridge,-1.82
Campbell,campbell,-7.17
Canisius,canisius,-1.6
Central-Arkansas,central-arkansas,-5.56
Central-Connecticut-State,central-connecticut-state,-7.77
Central-Florida,central-florida,-3.04
Central-Michigan,central-michigan,-0.38
Charleston-Southern,charleston-southern,-7.28
Charlotte,charlotte,2.17
Chattanooga,chattanooga,-3.72
Chicago-State,chicago-state,-2.3
Cincinnati,cincinnati,4.99
Citadel,citadel,-5.63
Clemson,clemson,4.09
Cleveland-State,cleveland-state,-1.57
Coastal-Carolina,coastal-carolina,-6.55
Colgate,colgate,-5.74
College-of-Charleston,college-of-charleston,-4.34
Colorado,colorado,5.94
Colorado-State,colorado-state,2.36
Columbia,columbia,-5.25
UConn,connecticut,0.85
Coppin-State,coppin-state,-8.25
Cornell,cornell,-4.58
Creighton,creighton,3.19
Dartmouth,dartmouth,-5.19
Davidson,davidson,-3.13
Dayton,dayton,3.18
Delaware,delaware,-6.04
Delaware-State,delaware-state,-10.27
Denver,denver,-0.54
DePaul,depaul,5.87
Detroit-Mercy,detroit-mercy,1.15
Drake,drake,3.05
Drexel,drexel,-4.56
Duke,duke,6.58
Duquesne,duquesne,2.03
East-Carolina,east-carolina,-1.27
ETSU,east-tennessee-state,-3.55
Eastern-Illinois,eastern-illinois,-4.22
Eastern-Kentucky,eastern-kentucky,-2.63
Eastern-Michigan,eastern-michigan,-0.37
Eastern-Washington,eastern-washington,-2.17
Elon,elon,-3.78
Evansville,evansville,1.05
Fairfield,fairfield,-2.83
Fairleigh-Dickinson,fairleigh-dickinson,-6.96
Florida-A&M,florida-am,-9.12
Florida-Atlantic,florida-atlantic,-3.5
Florida,florida,4.79
Florida-Gulf-Coast,florida-gulf-coast,-3.79
Florida-International,florida-international,-3.42
Florida-State,florida-state,4.78
Fordham,fordham,-0.23
Fresno-State,fresno-state,1.74
Furman,furman,-4.24
Gardner-Webb,gardner-webb,-4.64
George-Mason,george-mason,-1.67
George-Washington,george-washington,-0.13
Georgetown,georgetown,3.77
Georgia,georgia,4.79
Georgia-Southern,georgia-southern,-5.17
Georgia-State,georgia-state,-4.01
Georgia-Tech,georgia-tech,5.05
Gonzaga,gonzaga,-0.41
Grambling,grambling,-9.37
Grand-Canyon,grand-canyon,-4.66
Green-Bay,green-bay,-1.12
Hampton,hampton,-9.11
Hartford,hartford,-5.4
Harvard,harvard,-5.03
Hawaii,hawaii,2.07
High-Point,high-point,-6.37
Hofstra,hofstra,-4.44
Holy-Cross,holy-cross,-3.86
Houston-Baptist,houston-baptist,-6.02
Houston,houston,2.66
Howard,howard,-9.88
Idaho-State,idaho-state,-2.61
Idaho,idaho,-1.02
Illinois,illinois,7.6
Illinois-State,illinois-state,1.8
UIC,illinois-chicago,-1.07
Incarnate-Word,incarnate-word,-6.77
Indiana,indiana,8.04
Indiana-State,indiana-state,1.9
Iona,iona,-3.52
Iowa,iowa,7.29
Iowa-State,iowa-state,6.26
IPFW,ipfw,-2.24
IUPUI,iupui,-2.47
