,school,sos,school-format,season
0,Abilene Christian,-4.12,abilene-christian,2014
1,Air Force,1.71,air-force,2014
2,Akron,-0.48,akron,2014
3,Alabama A&M,-10.58,alabama-am,2014
4,Alabama-Birmingham,-0.77,alabama-birmingham,2014
5,Alabama State,-11.40,alabama-state,2014
6,Alabama,8.88,alabama,2014
7,Albany (NY) NCAA,-5.22,albany-ny,2014
8,Alcorn State,-9.27,alcorn-state,2014
9,American NCAA,-3.25,american,2014
10,Appalachian State,-7.13,appalachian-state,2014
11,Arizona State NCAA,7.41,arizona-state,2014
12,Arizona NCAA,9.04,arizona,2014
13,Arkansas-Little Rock,-1.09,arkansas-little-rock,2014
14,Arkansas-Pine Bluff,-6.90,arkansas-pine-bluff,2014
15,Arkansas State,-3.18,arkansas-state,2014
16,Arkansas,5.57,arkansas,2014
17,Army,-4.66,army,2014
18,Auburn,5.47,auburn,2014
19,Austin Peay,-5.78,austin-peay,2014
20,Ball State,0.65,ball-state,2014
21,Baylor NCAA,10.11,baylor,2014
22,Belmont,-1.88,belmont,2014
23,Bethune-Cookman,-7.53,bethune-cookman,2014
24,Binghamton,-6.15,binghamton,2014
25,Boise State,3.86,boise-state,2014
26,Boston College,8.62,boston-college,2014
27,Boston University,-2.40,boston-university,2014
28,Bowling Green State,-0.20,bowling-green-state,2014
29,Bradley,-0.31,bradley,2014
30,Brigham Young NCAA,5.72,brigham-young,2014
31,Brown,-4.04,brown,2014
32,Bryant,-4.89,bryant,2014
33,Bucknell,-3.14,bucknell,2014
34,Buffalo,-2.13,buffalo,2014
35,Butler,6.98,butler,2014
36,Cal Poly NCAA,1.69,cal-poly,2014
37,Cal State Bakersfield,-4.31,cal-state-bakersfield,2014
38,Cal State Fullerton,-1.12,cal-state-fullerton,2014
39,Cal State Northridge,-3.29,cal-state-northridge,2014
40,UC-Davis,-1.76,california-davis,2014
41,UC-Irvine,-0.65,california-irvine,2014
42,UC-Riverside,-2.33,california-riverside,2014
43,UC-Santa Barbara,-0.13,california-santa-barbara,2014
44,University of California,7.44,california,2014
45,Campbell,-7.33,campbell,2014
46,Canisius,-1.95,canisius,2014
47,Central Arkansas,-5.54,central-arkansas,2014
48,Central Connecticut State,-6.06,central-connecticut-state,2014
49,Central Florida,5.14,central-florida,2014
50,Central Michigan,-2.72,central-michigan,2014
51,Charleston Southern,-5.75,charleston-southern,2014
52,Charlotte,-0.50,charlotte,2014
53,Chattanooga,-7.90,chattanooga,2014
54,Chicago State,-2.44,chicago-state,2014
55,Cincinnati NCAA,5.28,cincinnati,2014
56,Citadel,-6.75,citadel,2014
57,Clemson,5.97,clemson,2014
58,Cleveland State,-0.52,cleveland-state,2014
59,Coastal Carolina NCAA,-6.31,coastal-carolina,2014
60,Colgate,-4.08,colgate,2014
61,College of Charleston,-1.89,college-of-charleston,2014
62,Colorado State,2.16,colorado-state,2014
63,Colorado NCAA,8.80,colorado,2014
64,Columbia,-1.92,columbia,2014
65,Connecticut NCAA,8.63,connecticut,2014
66,Coppin State,-4.99,coppin-state,2014
67,Cornell,0.03,cornell,2014
68,Creighton NCAA,7.17,creighton,2014
69,Dartmouth,-3.24,dartmouth,2014
70,Davidson,-3.73,davidson,2014
71,Dayton NCAA,5.34,dayton,2014
72,Delaware State,-6.11,delaware-state,2014
73,Delaware NCAA,-1.10,delaware,2014
74,Denver,-0.42,denver,2014
75,DePaul,7.47,depaul,2014
76,Detroit Mercy,-0.25,detroit-mercy,2014
77,Drake,1.03,drake,2014
78,Drexel,-0.24,drexel,2014
79,Duke NCAA,8.48,duke,2014
80,Duquesne,1.03,duquesne,2014
81,East Carolina,-2.41,east-carolina,2014
82,East Tennessee State,-6.08,east-tennessee-state,2014
83,Eastern Illinois,-4.21,eastern-illinois,2014
84,Eastern Kentucky NCAA,-4.34,eastern-kentucky,2014
85,Eastern Michigan,0.67,eastern-michigan,2014
86,Eastern Washington,-4.15,eastern-washington,2014
87,Elon,-4.50,elon,2014
88,Evansville,1.20,evansville,2014
89,Fairfield,-0.81,fairfield,2014
90,Fairleigh Dickinson,-4.07,fairleigh-dickinson,2014
91,Florida A&M,-7.58,florida-am,2014
92,Florida Atlantic,-0.42,florida-atlantic,2014
93,Florida Gulf Coast,-5.76,florida-gulf-coast,2014
94,Florida International,-1.58,florida-international,2014
95,Florida State,8.13,florida-state,2014
96,Florida NCAA,8.54,florida,2014
97,Fordham,3.14,fordham,2014
