SCHOOL,SOS
North Carolina,0.6223
Kansas,0.6041
Alabama,0.5995
Vanderbilt,0.5951
Kentucky,0.5945
Virginia,0.5932
Providence,0.5912
Texas A&M,0.591
St. John's,0.5893
Villanova,0.5888
TCU,0.5888
Xavier,0.5883
Temple,0.5873
Clemson,0.5868
Louisville,0.5855
Ole Miss,0.5846
Duke,0.5845
Syracuse,0.5839
Texas,0.5812
Butler,0.581
Tennessee,0.5804
Baylor,0.5795
Seton Hall,0.5763
Florida,0.5756
Marquette,0.5739
South Carolina,0.5738
Oklahoma,0.5734
Wisconsin,0.5726
Wichita State,0.5726
Arkansas,0.5712
Ohio State,0.5711
Connecticut,0.571
Pittsburgh,0.5709
Missouri,0.5705
Colorado,0.5705
Stanford,0.5686
Wake Forest,0.5684
West Virginia,0.5682
Southern California,0.5661
Iowa State,0.5652
Purdue,0.5652
Georgia Tech,0.564
Georgia,0.5635
Maryland,0.5631
Auburn,0.5619
Notre Dame,0.5616
LSU,0.5614
UCLA,0.5606
Miami (Fla.),0.5605
Arizona,0.5601
Creighton,0.5593
Texas Tech,0.5589
Oklahoma State,0.5583
Illinois State,0.5577
Michigan,0.5572
Cincinnati,0.5564
Washington,0.5553
California,0.5547
SMU,0.5538
Nevada,0.5528
Rhode Island,0.552
Utah,0.5504
Washington State,0.5497
NC State,0.5493
UCF,0.5491
Dayton,0.5491
Kansas State,0.5487
DePaul,0.5484
Boston College,0.5479
Iowa,0.5473
Northern Iowa,0.5468
Virginia Tech,0.5466
Penn State,0.5463
Arizona State,0.5461
Florida State,0.5451
Richmond,0.5447
Illinois,0.5446
Indiana,0.5429
Western Kentucky,0.5424
Oregon,0.5417
Oregon State,0.5408
Houston,0.539
Buffalo,0.5388
Michigan State,0.5362
Rutgers,0.5352
Mississippi State,0.5349
Indiana State,0.5339
St. Bonaventure,0.5333
Middle Tennessee,0.5321
Tulsa,0.5319
Davidson,0.5311
Northwestern,0.531
Minnesota,0.5293
New Mexico,0.5291
