,School,SOS,School_format
0,Abilene Christian Wildcats,-6.86,abilene-christian-wildcats
1,Air Force Falcons,1.34,air-force-falcons
2,Akron Zips,-1.55,akron-zips
3,Alabama A&M Bulldogs,-11.58,alabama-am-bulldogs
4,Alabama Crimson Tide,4.47,alabama-crimson-tide
5,Alabama State Hornets,-10.17,alabama-state-hornets
6,Alabama-Birmingham Blazers,2.84,alabama-birmingham-blazers
7,Albany (NY) Great Danes,-6.06,albany-ny-great-danes
8,Alcorn State Braves,-8.85,alcorn-state-braves
9,American Eagles,-3.67,american-eagles
10,Appalachian State Mountaineers,-3.44,appalachian-state-mountaineers
11,Arizona State Sun Devils,3.82,arizona-state-sun-devils
12,Arizona Wildcats,4.96,arizona-wildcats
13,Arkansas Razorbacks,2.95,arkansas-razorbacks
14,Arkansas State Red Wolves,-3.01,arkansas-state-red-wolves
15,Arkansas-Little Rock Trojans,-3.61,arkansas-little-rock-trojans
16,Arkansas-Pine Bluff Golden Lions,-8.64,arkansas-pine-bluff-golden-lions
17,Army Black Knights,-4.65,army-black-knights
18,Auburn Tigers,4.02,auburn-tigers
19,Austin Peay Governors,-3.35,austin-peay-governors
20,Ball State Cardinals,-0.71,ball-state-cardinals
21,Baylor Bears,2.39,baylor-bears
22,Belmont Bruins,-3.35,belmont-bruins
23,Bethune-Cookman Wildcats,-10.0,bethune-cookman-wildcats
24,Binghamton Bearcats,-5.61,binghamton-bearcats
25,Boise State Broncos,-0.72,boise-state-broncos
26,Boston College Eagles,3.03,boston-college-eagles
27,Boston University Terriers,-5.48,boston-university-terriers
28,Bowling Green State Falcons,0.07,bowling-green-state-falcons
29,Bradley Braves,3.06,bradley-braves
30,Brigham Young Cougars,3.55,brigham-young-cougars
31,Brown Bears,-4.62,brown-bears
32,Bryant Bulldogs,-4.9,bryant-bulldogs
33,Bucknell Bison,-6.95,bucknell-bison
34,Buffalo Bulls,-2.59,buffalo-bulls
35,Butler Bulldogs,2.97,butler-bulldogs
36,Cal Poly Mustangs,-1.72,cal-poly-mustangs
37,Cal State Bakersfield Roadrunners,-3.18,cal-state-bakersfield-roadrunners
38,Cal State Fullerton Titans,-0.26,cal-state-fullerton-titans
39,Cal State Northridge Matadors,-1.82,cal-state-northridge-matadors
40,Campbell Fighting Camels,-7.17,campbell-fighting-camels
41,Canisius Golden Griffins,-1.6,canisius-golden-griffins
42,Central Arkansas Bears,-5.56,central-arkansas-bears
43,Central Connecticut State Blue Devils,-7.77,central-connecticut-state-blue-devils
44,Central Florida Knights,-3.04,central-florida-knights
45,Central Michigan Chippewas,-0.38,central-michigan-chippewas
46,Charleston Southern Buccaneers,-7.28,charleston-southern-buccaneers
47,Charlotte 49ers,2.17,charlotte-49ers
48,Chattanooga Mocs,-3.72,chattanooga-mocs
49,Chicago State Cougars,-2.3,chicago-state-cougars
50,Cincinnati Bearcats,4.99,cincinnati-bearcats
51,Citadel Bulldogs,-5.63,citadel-bulldogs
52,Clemson Tigers,4.09,clemson-tigers
53,Cleveland State Vikings,-1.57,cleveland-state-vikings
54,Coastal Carolina Chanticleers,-6.55,coastal-carolina-chanticleers
55,Colgate Raiders,-5.74,colgate-raiders
56,College of Charleston Cougars,-4.34,college-of-charleston-cougars
57,Colorado Buffaloes,5.94,colorado-buffaloes
58,Colorado State Rams,2.36,colorado-state-rams
59,Columbia Lions,-5.25,columbia-lions
60,Connecticut Huskies,0.85,connecticut-huskies
61,Coppin State Eagles,-8.25,coppin-state-eagles
62,Cornell Big Red,-4.58,cornell-big-red
63,Creighton Bluejays,3.19,creighton-bluejays
64,Dartmouth Big Green,-5.19,dartmouth-big-green
65,Davidson Wildcats,-3.13,davidson-wildcats
66,Dayton Flyers,3.18,dayton-flyers
67,Delaware Fightin' Blue Hens,-6.04,delaware-fightin-blue-hens
68,Delaware State Hornets,-10.27,delaware-state-hornets
69,Denver Pioneers,-0.54,denver-pioneers
70,DePaul Blue Demons,5.87,depaul-blue-demons
71,Detroit Mercy Titans,1.15,detroit-mercy-titans
72,Drake Bulldogs,3.05,drake-bulldogs
73,Drexel Dragons,-4.56,drexel-dragons
74,Duke Blue Devils,6.58,duke-blue-devils
75,Duquesne Dukes,2.03,duquesne-dukes
76,East Carolina Pirates,-1.27,east-carolina-pirates
77,East Tennessee State Buccaneers,-3.55,east-tennessee-state-buccaneers
78,Eastern Illinois Panthers,-4.22,eastern-illinois-panthers
79,Eastern Kentucky Colonels,-2.63,eastern-kentucky-colonels
80,Eastern Michigan Eagles,-0.37,eastern-michigan-eagles
81,Eastern Washington Eagles,-2.17,eastern-washington-eagles
82,Elon Phoenix,-3.78,elon-phoenix
83,Evansville Purple Aces,1.05,evansville-purple-aces
84,Fairfield Stags,-2.83,fairfield-stags
85,Fairleigh Dickinson Knights,-6.96,fairleigh-dickinson-knights
86,Florida A&M Rattlers,-9.12,florida-am-rattlers
87,Florida Atlantic Owls,-3.5,florida-atlantic-owls
88,Florida Gators,4.79,florida-gators
89,Florida Gulf Coast Eagles,-3.79,florida-gulf-coast-eagles
90,Florida International Panthers,-3.42,florida-international-panthers
91,Florida State Seminoles,4.78,florida-state-seminoles
92,Fordham Rams,-0.23,fordham-rams
93,Fresno State Bulldogs,1.74,fresno-state-bulldogs
94,Furman Paladins,-4.24,furman-paladins
95,Gardner-Webb Runnin' Bulldogs,-4.64,gardner-webb-runnin-bulldogs
96,George Mason Patriots,-1.67,george-mason-patriots
97,George Washington Colonials,-0.13,george-washington-colonials
98,Georgetown Hoyas,3.77,georgetown-hoyas
99,Georgia Bulldogs,4.79,georgia-bulldogs
100,Georgia Southern Eagles,-5.17,georgia-southern-eagles
101,Georgia State Panthers,-4.01,georgia-state-panthers
102,Georgia Tech Yellow Jackets,5.05,georgia-tech-yellow-jackets
103,Gonzaga Bulldogs,-0.41,gonzaga-bulldogs
104,Grambling Tigers,-9.37,grambling-tigers
105,Grand Canyon Antelopes,-4.66,grand-canyon-antelopes
106,Green Bay Phoenix,-1.12,green-bay-phoenix
107,Hampton Pirates,-9.11,hampton-pirates
108,Hartford Hawks,-5.4,hartford-hawks
109,Harvard Crimson,-5.03,harvard-crimson
110,Hawaii Warriors,2.07,hawaii-warriors
111,High Point Panthers,-6.37,high-point-panthers
112,Hofstra Pride,-4.44,hofstra-pride
113,Holy Cross Crusaders,-3.86,holy-cross-crusaders
114,Houston Baptist Huskies,-6.02,houston-baptist-huskies
115,Houston Cougars,2.66,houston-cougars
116,Howard Bison,-9.88,howard-bison
