Model,Season,Final Score,First Round,Second Round,Sweet 16,Elite 8,Final 4,Championship
rf_tcf,2025,96,24,16,24,16,16,0
rf,2025,75,23,20,16,16,0,0
model_ave,2025,115,25,22,28,24,16,0
lr_tcf,2025,85,25,20,24,16,0,0
lr,2025,93,25,20,24,24,0,0
gb_tcf,2025,115,25,18,24,32,16,0
gb,2025,113,25,16,24,32,16,0
rf_tcf,2024,61,19,14,4,8,16,0
rf,2024,63,19,16,4,8,16,0
model_ave,2024,100,20,20,12,16,32,0
lr_tcf,2024,60,24,20,8,8,0,0
lr,2024,60,24,20,8,8,0,0
gb_tcf,2024,125,19,18,8,16,32,32
gb,2024,94,18,20,8,16,32,0
