,school,sos,school-format,season
0,Abilene Christian,-6.82,abilene-christian,2018
1,Air Force,1.72,air-force,2018
2,Akron,-1.92,akron,2018
3,Alabama A&M,-8.04,alabama-am,2018
4,Alabama-Birmingham,-0.65,alabama-birmingham,2018
5,Alabama State,-8.62,alabama-state,2018
6,Alabama NCAA,10.64,alabama,2018
7,Albany (NY),-5.41,albany-ny,2018
8,Alcorn State,-8.60,alcorn-state,2018
9,American,-6.17,american,2018
10,Appalachian State,-2.65,appalachian-state,2018
11,Arizona State NCAA,6.56,arizona-state,2018
12,Arizona NCAA,6.84,arizona,2018
13,Arkansas-Little Rock,-2.21,arkansas-little-rock,2018
14,Arkansas-Pine Bluff,-9.36,arkansas-pine-bluff,2018
15,Arkansas State,-3.02,arkansas-state,2018
16,Arkansas NCAA,9.85,arkansas,2018
17,Army,-7.17,army,2018
18,Auburn NCAA,7.29,auburn,2018
19,Austin Peay,-2.49,austin-peay,2018
20,Ball State,-1.99,ball-state,2018
21,Baylor,9.17,baylor,2018
22,Belmont,-2.88,belmont,2018
23,Bethune-Cookman,-12.48,bethune-cookman,2018
24,Binghamton,-6.36,binghamton,2018
25,Boise State,3.05,boise-state,2018
26,Boston College,7.20,boston-college,2018
27,Boston University,-5.84,boston-university,2018
28,Bowling Green State,-2.88,bowling-green-state,2018
29,Bradley,0.36,bradley,2018
30,Brigham Young,1.53,brigham-young,2018
31,Brown,-4.67,brown,2018
32,Bryant,-5.43,bryant,2018
33,Bucknell NCAA,-3.46,bucknell,2018
34,Buffalo NCAA,0.25,buffalo,2018
35,Butler NCAA,10.55,butler,2018
36,Cal Poly,-1.83,cal-poly,2018
37,Cal State Bakersfield,-0.73,cal-state-bakersfield,2018
38,Cal State Fullerton NCAA,-1.02,cal-state-fullerton,2018
39,Cal State Northridge,-3.55,cal-state-northridge,2018
40,UC-Davis,-1.84,california-davis,2018
41,UC-Irvine,-0.33,california-irvine,2018
42,UC-Riverside,-1.53,california-riverside,2018
43,UC-Santa Barbara,-3.36,california-santa-barbara,2018
44,University of California,6.06,california,2018
45,Campbell,-6.68,campbell,2018
46,Canisius,-4.80,canisius,2018
47,Central Arkansas,-5.97,central-arkansas,2018
48,Central Connecticut State,-7.59,central-connecticut-state,2018
49,Central Florida,3.75,central-florida,2018
50,Central Michigan,-3.24,central-michigan,2018
51,Charleston Southern,-6.15,charleston-southern,2018
52,Charlotte,0.27,charlotte,2018
53,Chattanooga,-4.05,chattanooga,2018
54,Chicago State,1.17,chicago-state,2018
55,Cincinnati NCAA,3.53,cincinnati,2018
56,Citadel,-2.94,citadel,2018
57,Clemson NCAA,9.25,clemson,2018
58,Cleveland State,-3.64,cleveland-state,2018
59,Coastal Carolina,-2.40,coastal-carolina,2018
60,Colgate,-5.73,colgate,2018
61,College of Charleston NCAA,-3.29,college-of-charleston,2018
62,Colorado State,3.79,colorado-state,2018
63,Colorado,7.00,colorado,2018
64,Columbia,-3.02,columbia,2018
65,Connecticut,6.05,connecticut,2018
66,Coppin State,-7.25,coppin-state,2018
67,Cornell,-3.24,cornell,2018
68,Creighton NCAA,8.10,creighton,2018
69,Dartmouth,-4.00,dartmouth,2018
70,Davidson NCAA,2.57,davidson,2018
71,Dayton,2.70,dayton,2018
72,Delaware State,-9.32,delaware-state,2018
73,Delaware,-2.96,delaware,2018
