,School,SOS,School_format
0,Abilene-Christian,-6.86,abilene-christian
1,Air-Force,1.34,air-force
2,Akron,-1.55,akron
3,Alabama-A&M,-11.58,alabama-am
4,Alabama,4.47,alabama
5,Alabama-State,-10.17,alabama-state
6,Alabama-Birmingham-Blazers,2.84,alabama-birmingham-blazers
7,Albany-(NY),-6.06,albany-ny
8,Alcorn-State,-8.85,alcorn-state
9,American,-3.67,american
10,Appalachian-State,-3.44,appalachian-state
11,Arizona-State,3.82,arizona-state
12,Arizona,4.96,arizona
13,Arkansas,2.95,arkansas
14,Arkansas-State,-3.01,arkansas-state
15,Arkansas-Little-Rock,-3.61,arkansas-little-rock
16,Arkansas-Pine-Bluff,-8.64,arkansas-pine-bluff
17,Army,-4.65,army
18,Auburn-Tigers,4.02,auburn-tigers
19,Austin-Peay,-3.35,austin-peay
20,Ball-State,-0.71,ball-state
21,Baylor,2.39,baylor
22,Belmont,-3.35,belmont
23,Bethune-Cookman,-10.0,bethune-cookman
24,Binghamton,-5.61,binghamton
25,Boise-State,-0.72,boise-state
26,Boston-College,3.03,boston-college
27,Boston-University,-5.48,boston-university
28,Bowling-Green-State,0.07,bowling-green-state
29,Bradley,3.06,bradley
30,Brigham-Young,3.55,brigham-young
31,Brown,-4.62,brown
32,Bryant,-4.9,bryant
33,Bucknell,-6.95,bucknell
34,Buffalo,-2.59,buffalo
35,Butler,2.97,butler
36,Cal-Poly,-1.72,cal-poly
37,Cal-State-Bakersfield,-3.18,cal-state-bakersfield
38,Cal-State-Fullerton,-0.26,cal-state-fullerton
39,Cal-State-Northridge,-1.82,cal-state-northridge
40,Campbell-Fighting,-7.17,campbell-fighting
41,Canisius-Golden,-1.6,canisius-golden
42,Central-Arkansas,-5.56,central-arkansas
43,Central-Connecticut-State,-7.77,central-connecticut-state
44,Central-Florida,-3.04,central-florida
45,Central-Michigan,-0.38,central-michigan
46,Charleston-Southern,-7.28,charleston-southern
47,Charlotte,2.17,charlotte
48,Chattanooga,-3.72,chattanooga
49,Chicago-State,-2.3,chicago-state
50,Cincinnati,4.99,cincinnati
51,Citadel,-5.63,citadel
52,Clemson,4.09,clemson
53,Cleveland-State,-1.57,cleveland-state
54,Coastal-Carolina,-6.55,coastal-carolina
55,Colgate,-5.74,colgate
56,College-of-Charleston,-4.34,college-of-charleston
57,Colorado,5.94,colorado
58,Colorado-State,2.36,colorado-state
59,Columbia,-5.25,columbia
60,Connecticut,0.85,connecticut
61,Coppin-State,-8.25,coppin-state
62,Cornell,-4.58,cornell
63,Creighton,3.19,creighton
64,Dartmouth,-5.19,dartmouth
65,Davidson,-3.13,davidson
66,Dayton,3.18,dayton
67,Delaware,-6.04,delaware
68,Delaware-State,-10.27,delaware-state
69,Denver,-0.54,denver
70,DePaul,5.87,depaul
71,Detroit-Mercy,1.15,detroit-mercy
72,Drake,3.05,drake
73,Drexel,-4.56,drexel
74,Duke,6.58,duke
75,Duquesne,2.03,duquesne
76,East-Carolina,-1.27,east-carolina
77,East-Tennessee-State,-3.55,east-tennessee-state
78,Eastern-Illinois,-4.22,eastern-illinois
79,Eastern-Kentucky,-2.63,eastern-kentucky
80,Eastern-Michigan,-0.37,eastern-michigan
81,Eastern-Washington,-2.17,eastern-washington
82,Elon,-3.78,elon
83,Evansville,1.05,evansville
84,Fairfield,-2.83,fairfield
85,Fairleigh-Dickinson,-6.96,fairleigh-dickinson
86,Florida-A&M,-9.12,florida-am
87,Florida-Atlantic,-3.5,florida-atlantic
88,Florida-Gators,4.79,florida-gators
89,Florida-Gulf-Coast,-3.79,florida-gulf-coast
90,Florida-International,-3.42,florida-international
91,Florida-State,4.78,florida-state
92,Fordham,-0.23,fordham
93,Fresno-State,1.74,fresno-state
94,Furman,-4.24,furman
95,Gardner-Webb,-4.64,gardner-webb
96,George-Mason,-1.67,george-mason
97,George-Washington,-0.13,george-washington
98,Georgetown,3.77,georgetown
99,Georgia,4.79,georgia
100,Georgia-Southern,-5.17,georgia-southern
101,Georgia-State,-4.01,georgia-state
102,Georgia-Tech,5.05,georgia-tech
103,Gonzaga,-0.41,gonzaga
104,Grambling,-9.37,grambling
105,Grand-Canyon,-4.66,grand-canyon
106,Green-Bay,-1.12,green-bay
107,Hampton,-9.11,hampton
108,Hartford,-5.4,hartford
109,Harvard,-5.03,harvard
110,Hawaii,2.07,hawaii
111,High-Point,-6.37,high-point
112,Hofstra,-4.44,hofstra
113,Holy-Cross,-3.86,holy-cross
114,Houston-Baptist,-6.02,houston-baptist
115,Houston,2.66,houston
116,Howard,-9.88,howard
117,Idaho-State,-2.61,idaho-state
118,Idaho,-1.02,idaho
119,Illinois,7.6,illinois
120,Illinois-State,1.8,illinois-state
121,Illinois-Chicago,-1.07,illinois-chicago
122,Incarnate-Word,-6.77,incarnate-word
123,Indiana,8.04,indiana
124,Indiana-State,1.9,indiana-state
125,Iona,-3.52,iona
126,Iowa,7.29,iowa
127,Iowa-State,6.26,iowa-state
128,IPFW,-2.24,ipfw
129,IUPUI,-2.47,iupui
130,Jackson-State,-8.68,jackson-state
131,Jacksonville,-1.96,jacksonville
132,Jacksonville-State,-6.44,jacksonville-state
133,James-Madison,-2.21,james-madison
134,Kansas,6.99,kansas
135,Kansas-State,6.2,kansas-state
136,Kennesaw-State,-3.68,kennesaw-state
137,Kent-State,-0.34,kent-state
138,Kentucky,6.65,kentucky
139,La-Salle,0.61,la-salle
140,Lafayette,-6.95,lafayette
141,Lamar,-3.89,lamar
142,Lehigh-Mountain,-7.59,lehigh-mountain
