,Team
Villanova,40
Michigan,40
Kansas,38
Kentucky,37
NorthCarolina,36
USC,36
Nevada,36
Purdue,36
WesternKentucky,36
Alabama,35
No.Colorado,35
MichiganState,35
SanFrancisco,35
Stanford,35
Oregon,35
Syracuse,35
Arizona,35
Arkansas,35
Duke,35
PennState,35
Xavier,35
Gonzaga,34
LoyolaChicago,34
Butler,34
SetonHall,34
KansasState,34
Louisville,34
Marquette,34
Tennessee,33
Temple,33
Cincinnati,33
WestVirginia,33
Providence,33
WrightState,33
UtahU,33
Florida,33
OklahomaState,33
UCLA,33
Buffalo,33
FloridaState,33
UNLV,33
Marshall,33
TexasTech,33
Missouri,32
TexasA&M,32
OhioState,32
ClevelandState,32
SouthCarolina,32
MiamiOhio,32
WashingtonU,32
Montana,32
BYU,32
NotreDame,32
Davidson,32
E.Washington,32
NewMexico,32
SaintMarysCA,32
MississippiSt,32
Clemson,32
NorthTexas,32
ArizonaState,32
OregonState,32
CalIrvine,32
Colorado,32
RhodeIsland,32
IllinoisChicago,32
Auburn,32
TCU,32
Wisconsin,32
Canisius,31
Pacific,31
LongBeachState,31
Depaul,31
Drake,31
PortlandState,31
Wyoming,31
SanDiegoState,31
Nebraska,31
Dayton,31
Belmont,31
UTArlington,31
WiscMilwaukee,31
St.Bonaventure,31
Oklahoma,31
MemphisU,31
GeorgiaState,31
HoustonU,31
UtahState,31
WichitaState,31
IndianaU,31
CollCharleston,31
Bradley,31
BoiseState,31
Toledo,31
CentralMichigan,31
Virginia,31
Creighton,31
MinnesotaU,31
St.Johns,31
Mississippi,31
LaSalle,31
Pepperdine,31
UCDavis,30
JacksonvilleSt,30
Iona,30
SouthernUtah,30
OldDominion,30
Georgia,30
California,30
ETennesseeSt,30
Troy,30
SacramentoState,30
JamesMadison,30
MontanaState,30
IllinoisState,30
WashingtonState,30
MiddleTennSt,30
Akron,30
Texas,30
Massachusetts,30
Richmond,30
MissouriSt,30
AppalachianSt,30
LSU,30
AustinPeay,30
Oakland,30
St.Josephs,30
DetroitU,30
SaintLouis,30
Quinnipiac,29
NebraskaOmaha,29
SantaClara,29
SanDiego,29
Vanderbilt,29
VaCommonwealth,29
IowaState,29
BostonCollege,29
VirginiaTech,29
Northwestern,29
Valparaiso,29
NorthernKentucky,29
Connecticut,29
Manhattan,29
SouthDakotaState,29
WakeForest,29
Northeastern,29
WesternMichigan,29
SouthDakota,29
Iowa,29
GeorgeMason,29
LouisianaTech,29
TexSanAntonio,29
GeoWashington,29
EasternMichigan,29
EasternIllinois,29
SouthernMiss,29
KentState,29
NorthDakota,29
NCWilmington,29
Mercer,29
SanJoseState,29
YoungstownState,29
MurrayState,29
CalSantaBarb,29
TennesseeTech,29
TennesseeChat,29
Niagara,29
Elon,29
IndianaState,29
Fairfield,29
NorthernArizona,28
NorthernIowa,28
SouthAlabama,28
Pennsylvania,28
WesternCarolina,28
Harvard,28
SMU,28
Evansville,28
Rider,28
SouthFlorida,28
SoIllinois,28
NoIllinois,28
ArkansasState,28
Drexel,28
NCGreensboro,28
CalPolySLO,28
GeorgiaTech,28
CSFullerton,28
SIUEdwardsville,28
ColoradoState,28
Maryland,28
LoyolaMarymount,28
Wofford,28
Illinois,28
IUPUI,28
WiscGreenBay,28
FresnoState,28
Tulsa,28
GeorgiaSouthern,27
St.Peter's,27
OralRoberts,27
MiamiFlorida,27
Towson,27
PortlandU,27
DenverU,27
UAB,27
IPFW,27
ULLafayette,27
Pittsburgh,27
Furman,27
Monmouth,27
Fordham,27
CentralFlorida,27
Delaware,27
CSNorthridge,27
Georgetown,27
Hofstra,27
Baylor,27
NCState,26
UTEP,26
Rice,26
WeberState,26
William&Mary,26
FloridaIntl,26
Hawaii,26
CalRiverside,26
Ohio,26
IdahoU,26
Samford,26
EasternKentucky,26
Tulane,26
AirForce,26
Rutgers,26
SEMissouriSt,26
FlaAtlantic,26
IdahoState,26
BallState,26
TexasState,26
CharlotteU,26
CoastalCarolina,26
BowlingGreen,25
TheCitadel,25
Marist,25
TennMartin,25
Princeton,25
Duquesne,24
ULMonroe,24
Siena,24
ArkansasLR,24
TennesseeState,24
MoreheadState,24
WesternIllinois,23
VMI,23
Yale,23
EastCarolina,23
Cornell,22
Dartmouth,20
Columbia,19
Brown,19
NewMexicoState,11
Liberty,11
Radford,11
Bucknell,11
NDakotaSt,11
