,Player,MP,Team,Season,Cluster,Pos
19124,Jalone Friday,714,abilene-christian,2018,2,C
19128,Kolton Kohl,105,abilene-christian,2018,0,C
19145,Frank Toohey,426,air-force,2018,2,C
19166,Mark Kostelac,370,akron,2018,1,C
19199,Branden Johnson,753,alabama-state,2018,0,C
19208,Marice Wright,129,alabama-state,2018,1,C
19275,Jake Wilson,159,appalachian-state,2018,1,C
19292,Dusan Ristic,949,arizona,2018,0,C
19334,David Tillman,136,arkansas-pine-bluff,2018,1,C
19377,John Miller,127,army,2018,1,C
19409,Ivan Cucak,129,austin-peay,2018,1,C
19414,Trey Moses,836,ball-state,2018,0,C
19439,Tyler Hadden,344,belmont,2018,2,C
19444,Seth Adelsperger,290,belmont,2018,1,C
19485,Robin Jorch,227,boise-state,2018,1,C
19511,Sukhmail Mathon,355,boston-university,2018,1,C
19525,Joniya Gadson,83,bowling-green-state,2018,1,C
19535,Koch Bar,532,bradley,2018,1,C
19538,Callum Barker,69,bradley,2018,1,C
19581,Nana Foulland,1001,bucknell,2018,0,C
19592,Paul Newman,74,bucknell,2018,1,C
19605,Brock Bertram,84,buffalo,2018,1,C
19612,Nate Fowler,608,butler,2018,0,C
19636,Moataz Aly,596,cal-state-bakersfield,2018,0,C
19641,Fallou Ndoye,375,cal-state-bakersfield,2018,1,C
19664,Blair Orr,38,cal-state-northridge,2018,1,C
19670,Mahamadou Kaba-Camara,224,cal-state-northridge,2018,1,C
19689,Brad Greene,427,california-irvine,2018,0,C
19700,Menno Dijkstra,439,california-riverside,2018,2,C
19708,Idy Diallo,300,california-riverside,2018,1,C
19738,Kingsley Okoroh,804,california,2018,1,C
19751,Andrew Eudy,843,campbell,2018,2,C
19752,Mogga Lado,572,campbell,2018,1,C
19764,Selvedin Planincic,477,canisius,2018,1,C
19777,Hayden Koval,857,central-arkansas,2018,2,C
19789,Deion Bute,802,central-connecticut-state,2018,0,C
19800,Tacko Fall,351,central-florida,2018,0,C
19823,Innocent Nwoko,82,central-michigan,2018,1,C
19850,Jailan Haslem,505,charlotte,2018,1,C
19894,Nysier Brooks,340,cincinnati,2018,0,C
19949,Josh Coleman,507,coastal-carolina,2018,1,C
19961,Dana Batt,720,colgate,2018,0,C
19980,Samba Ndiaye,76,college-of-charleston,2018,1,C
20071,Manny Suarez,180,creighton,2018,0,C
20128,Daivon Gamble,100,delaware-state,2018,1,C
20130,Reginald Giles,15,delaware-state,2018,1,C
20136,Demola Onifade,332,delaware-state,2018,1,C
20149,Daniel Amigo,774,denver,2018,0,C
20153,Christian Mackey,268,denver,2018,0,C
20163,Marin Maric,768,depaul,2018,0,C
20188,Isaiah Jones,121,detroit-mercy,2018,1,C
20225,Marques Bolden,378,duke,2018,0,C
20228,Antonio Vrankovic,66,duke,2018,1,C
20237,Jordan Robinson,596,duquesne,2018,1,C
20261,Peter Jurkin,569,east-tennessee-state,2018,0,C
20273,Jajuan Starks,665,eastern-illinois,2018,2,C
20275,Justice Green,137,eastern-illinois,2018,2,C
20277,Michael Chavers,136,eastern-illinois,2018,2,C
20279,Ray Crossland,916,eastern-illinois,2018,2,C
20316,Benas Griciunas,453,eastern-washington,2018,0,C
20329,Duje Radja,21,elon,2018,0,C
20335,Karolis Kundrotas,325,elon,2018,1,C
20337,Collin Luther,77,elon,2018,1,C
20350,Dalen Traore,371,evansville,2018,1,C
20377,Malik Miller,72,fairleigh-dickinson,2018,1,C
20393,Ronald Delph,910,florida-atlantic,2018,0,C
20396,Chisom Obidike,9,florida-atlantic,2018,1,C
20399,Simeon Lepichev,106,florida-atlantic,2018,2,C
20433,Elhadji Dieng,212,florida-international,2018,1,C
20441,Chris Koumadje,385,florida-state,2018,0,C
20447,Ike Obiagu,364,florida-state,2018,1,C
20462,Gorjok Gak,259,florida,2018,1,C
20481,Terrell Carter,446,fresno-state,2018,0,C
20511,Brandon Miller,167,gardner-webb,2018,1,C
20541,Jessie Govan,980,georgetown,2018,0,C
