Teams,school
AbileneChristian,abilene-christian
AirForce,air-force
Akron,akron
AlabamaA&M,alabama-am
UAB,alabama-birmingham
AlabamaState,alabama-state
Alabama,alabama
AlbanyNY,albany-ny
AlcornState,alcorn-state
American,american
AppalachianSt,appalachian-state
ArizonaState,arizona-state
Arizona,arizona
ArkansasLR,arkansas-little-rock
ArkPineBluff,arkansas-pine-bluff
ArkansasState,arkansas-state
Arkansas,arkansas
Army,army
Auburn,auburn
AustinPeay,austin-peay
BallState,ball-state
Baylor,baylor
Belmont,belmont
BethuneCookman,bethune-cookman
Binghamton,binghamton
BoiseState,boise-state
BostonCollege,boston-college
BostonU,boston-university
BowlingGreen,bowling-green-state
Bradley,bradley
BYU,brigham-young
Brown,brown
Bryant,bryant
Bucknell,bucknell
Buffalo,buffalo
Butler,butler
CalPolySLO,cal-poly
CSBakersfield,cal-state-bakersfield
CSFullerton,cal-state-fullerton
CSNorthridge,cal-state-northridge
UCDavis,california-davis
CalIrvine,california-irvine
CalRiverside,california-riverside
CalSantaBarb,california-santa-barbara
California,university-of-california
Campbell,campbell
Canisius,canisius
CentralArkansas,central-arkansas
CentralConn,central-connecticut-state
CentralFlorida,central-florida
CentralMichigan,central-michigan
CharlestonSou,charleston-southern
CharlotteU,charlotte
TennesseeChat,chattanooga
ChicagoSt,chicago-state
Cincinnati,cincinnati
TheCitadel,citadel
Clemson,clemson
ClevelandState,cleveland-state
CoastalCarolina,coastal-carolina
Colgate,colgate
CollCharleston,college-of-charleston
ColoradoState,colorado-state
Colorado,colorado
Columbia,columbia
Connecticut,connecticut
CoppinState,coppin-state
Cornell,cornell
Creighton,creighton
Dartmouth,dartmouth
Davidson,davidson
Dayton,dayton
DelawareState,delaware-state
Delaware,delaware
DenverU,denver
Depaul,depaul
DetroitU,detroit-mercy
Drake,drake
Drexel,drexel
Duke,duke
Duquesne,duquesne
EastCarolina,east-carolina
ETennesseeSt,east-tennessee-state
EasternIllinois,eastern-illinois
EasternKentucky,eastern-kentucky
EasternMichigan,eastern-michigan
E.Washington,eastern-washington
Elon,elon
Evansville,evansville
Fairfield,fairfield
FairDickinson,fairleigh-dickinson
FloridaA&M,florida-am
FlaAtlantic,florida-atlantic
FlaGulfCoast,florida-gulf-coast
FloridaIntl,florida-international
FloridaState,florida-state
Florida,florida
Fordham,fordham
FresnoState,fresno-state
Furman,furman
GardnerWebb,gardner-webb
GeorgeMason,george-mason
GeoWashington,george-washington
Georgetown,georgetown
GeorgiaSouthern,georgia-southern
GeorgiaState,georgia-state
GeorgiaTech,georgia-tech
Georgia,georgia
Gonzaga,gonzaga
,grambling
GrandCanyon,grand-canyon
WiscGreenBay,green-bay
Hampton,hampton
Hartford,hartford
Harvard,harvard
Hawaii,hawaii
HighPoint,high-point
Hofstra,hofstra
HolyCross,holy-cross
HoustonBaptist,houston-baptist
HoustonU,houston
Howard,howard
IdahoState,idaho-state
IdahoU,idaho
IllinoisChicago,illinois-chicago
IllinoisState,illinois-state
Illinois,illinois
,incarnate-word
IndianaState,indiana-state
IndianaU,indiana
Iona,iona
IowaState,iowa-state
Iowa,iowa
IPFW,ipfw
IUPUI,iupui
JacksonState,jackson-state
JacksonvilleSt,jacksonville-state
Jacksonville,jacksonville
JamesMadison,james-madison
KansasState,kansas-state
Kansas,kansas
KennesawSt,kennesaw-state
KentState,kent-state
Kentucky,kentucky
LaSalle,la-salle
Lafayette,lafayette
Lamar,lamar
Lehigh,lehigh
Liberty,liberty
Lipscomb,lipscomb
LongBeachState,long-beach-state
LongIsland,long-island-university
Longwood,longwood
ULLafayette,louisiana
ULMonroe,louisiana-monroe
LSU,louisiana-state
LouisianaTech,louisiana-tech
Louisville,louisville
LoyolaChicago,loyola-il
LoyolaMarymount,loyola-marymount
LoyolaMaryland,loyola-md
Maine,maine
Manhattan,manhattan
Marist,marist
Marquette,marquette
Marshall,marshall
MDBaltimoreCo,maryland-baltimore-county
MDEasternShore,maryland-eastern-shore
Maryland,maryland
UMassLowell,massachusetts-lowell
Massachusetts,massachusetts
,mcneese-state
MemphisU,memphis
Mercer,mercer
MiamiFlorida,miami-fl
MiamiOhio,miami-oh
MichiganState,michigan-state
Michigan,michigan
MiddleTennSt,middle-tennessee
WiscMilwaukee,milwaukee
MinnesotaU,minnesota
MississippiSt,mississippi-state
MissValleySt,mississippi-valley-state
Mississippi,mississippi
UMKC,missouri-kansas-city
