School,format
Xavier,xavier
Wisconsin,wisconsin
Winthrop,winthrop
Wichita State,wichita-state
West Virginia,west-virginia
Wake Forest,wake-forest
Virginia,virginia
Virginia Tech,virginia-tech
Virginia Commonwealth,virginia-commonwealth
Villanova,villanova
Vermont,vermont
Vanderbilt,vanderbilt
UCLA,ucla
UC-Davis,uc-davis
Troy,troy
Texas Southern,texas-southern
Southern Methodist,southern-methodist
Southern California,southern-california
South Dakota State,south-dakota-state
South Carolina,south-carolina
Seton Hall,seton-hall
Saint Mary's (CA),saint-marys-ca
Rhode Island,rhode-island
Purdue,purdue
Providence,providence
Princeton,princeton
Oregon,oregon
Oklahoma State,oklahoma-state
Notre Dame,notre-dame
Northwestern,northwestern
Northern Kentucky,northern-kentucky
North Dakota,north-dakota
North Carolina,north-carolina
North Carolina-Wilmington,north-carolina-wilmington
North Carolina Central,north-carolina-central
New Orleans,new-orleans
New Mexico State,new-mexico-state
Nevada,nevada
Mount St. Mary's,mount-st-marys
Minnesota,minnesota
Middle Tennessee,middle-tennessee
Michigan,michigan
Michigan State,michigan-state
Miami (FL),miami-fl
Maryland,maryland
Marquette,marquette
Louisville,louisville
Kentucky,kentucky
Kent State,kent-state
Kansas,kansas
Kansas State,kansas-state
Jacksonville State,jacksonville-state
Iowa State,iowa-state
Iona,iona
Gonzaga,gonzaga
Florida,florida
Florida State,florida-state
Florida Gulf Coast,florida-gulf-coast
East Tennessee State,east-tennessee-state
Duke,duke
Dayton,dayton
Creighton,creighton
Cincinnati,cincinnati
Butler,butler
Bucknell,bucknell
Baylor,baylor
Arkansas,arkansas
Arizona,arizona
